SN,title,year,abstract,doi,keywords,Domain Filter,Transparency and Trust,,,Location,Ethical keywords
rayyan-325715393,Values in Emotion Artificial Intelligence Hiring Services: Technosolutions to Organizational Problems,2023,"Despite debates about emotion artificial intelligence's (EAI) validity, legality, and social consequences, EAI is increasingly present in the high stakes context of hiring, with potential to shape the future of work and the workforce. The values laden in technology play a significant role in its societal impact.We conducted qualitative content analysis on the public-facing websites (N=229) of EAI hiring services. We identify the organizational problems that EAI hiring services claim to solve and reveal the values emerging in desired EAI uses as promoted by EAI hiring services to solve organizational problems. Our findings show that EAI hiring services market their technologies as technosolutions to three purported organizational hiring problems: 1) hiring (in)accuracy, 2) hiring (mis)fit, and 3) hiring (in)authenticity. We unpack these problems to expose how these desired uses of EAI are legitimized by the corporate ideals of data-driven decision making, continuous improvement, precision, loyalty, and stability. We identify the unfair and deceptive mechanisms by which EAI hiring services claim to solve the purported organizational hiring problems, suggesting that they unfairly exclude and exploit job candidates through EAI's creation, extraction, and affective commodification of a candidate's affective value through pseudoscientific approaches. Lastly, we interrogate EAI hiring service claims to reveal the core values that underpin their stated desired use: techno-omnipresence, techno-omnipotence, and techno-omniscience. We show how EAI hiring services position desired use of their technology as a moral imperative for hiring organizations with supreme capabilities to solve organizational hiring problems, then discuss implications for fairness, ethics, and policy in EAI-enabled hiring within the US policy landscape.",10.1145/3579543,affective computing;ai;ai ethics;algorithmic decision-making;artificial emotional intelligence;emotion ai;emotion recognition;employment assessments;future of work;labor;psychometrics;recruiting software;talent;talent acquisition;values,Technology,Yes,ACM,,Not clearly specified (Likely United States context),"ethic, policy, fair, valid, accuracy"
rayyan-325715400,The Dos and Don'ts of Affect Analysis - Proceedings of the 3rd International on Multimodal Sentiment Analysis Workshop and Challenge,2022,"As an inseparable and crucial component of communication affects play a substantial role in human-device and human-human interaction. They convey information about a person's specific traits and states [1, 4, 5], how one feels about the aims of a conversation, the trustworthiness of one's verbal communication [3], and the degree of adaptation in interpersonal speech [2]. This multifaceted nature of human affects poses a great challenge when it comes to applying machine learning systems for their automatic recognition and understanding. Contemporary self-supervised learning architectures such as Transformers, which define state-of-the-art (SOTA) in this area, have shown noticeable deficits in terms of explainability, while more conventional, non-deep machine learning methods, which provide more transparency, often fall (far) behind SOTA systems. So, is it possible to get the best of these two 'worlds'? And more importantly, at what price? In this talk, I provide a set of Dos and Don'ts guidelines for addressing affective computing tasks w. r. t. (i) preserving privacy for affective data and individuals/groups, (ii) being efficient in computing such data in a transparent way, (iii) ensuring reproducibility of the results, (iv) knowing the differences between causation and correlation, and (v) properly applying social and ethical protocols.",10.1145/3551876.3554815,affective computing;explainability;multimodal sentiment analysis;reproducibility,Technology,Yes,ACM,,Not location-specific (Germany affiliation),"explain, transparent, ethic, guideline, trust, privacy"
rayyan-325715402,An Exploratory Diagnosis of Artificial Intelligence Risks for a Responsible Governance. - Proceedings of the 15th International Conference on Theory and Practice of Electronic Governance,2022,"Our lives have been increasingly filled with technologies that use Artificial Intelligence (AI), whether at home, in public spaces, in social organizations, or in services. Like other technologies, adopting this emerging technology also requires society’s attention to the challenges that may arise from it. The media brought to the public some unexpected results from using these technologies, for example, the unfairness case in the COMPAS system. It became more evident that these technologies can have unintended consequences. In particular, in the public interest domain, these unintended consequences and their origin are a challenge for public policies, governance, and responsible AI. This work aims to identify the technological and ethical risks in data-driven decision systems based on AI and conduct a diagnosis of these risks and their perception. To do that, we use a triangulation of methods. In the first stage, a search on Web of Science has been performed. We consider all the 412 papers. The second stage corresponds to a analysis of experts. The papers have been classified according to the relevance to the topic by the experts. In the third stage, we use the survey method and include risk insights from stage two in our questions. We found 24 concerns which arise from the perspective of the ethical and technological risk perspective. The perception of participants regarding the level of concern they have with the risks of a data-driven system based on AI is high than their perception of society’s concern. Fairness is considered the risk whose perception is more severe. Fairness, Bias, Accountability, Interpretability, and Explainability are considered the most relevant concepts for a responsible AI. Consequently, also the most relevant for responsible governance of AI.",10.1145/3560107.3560298,Artificial Intelligence;Diagnosis of the Situation;Ethical Risks;Governance;Risk Perception;Technological Risks,Technology,Yes,ACM,,Portugal (Porto),"explain, interpret, accountab, ethic, govern, responsib, fair, bias, risk"
rayyan-325715414,Towards Machine Learning Fairness Education in a Natural Language Processing Course - Proceedings of the 54th ACM Technical Symposium on Computer Science Education V. 1,2023,"Machine learning (ML) models are often included in high-risk algorithmic decision-making software. Hence, ML is a particularly important facet of ethics education so that models are less biased and more fair to all users. Natural Language Processing (NLP) specifically functions on text, a human produced artifact, making it more prone to inheriting flawed biases. However, teaching about ethics in ML courses is lacking. To address this issue, we created 3 interventions in an NLP course to introduce students to biases in ML models. We employed a combination of hands-on programming activities, lecture, and a project that discusses ML fairness at different levels and for different populations including gender bias and disability bias. Each intervention included a reflection question about bias. We also interviewed 6 students to further understand the impact of the interventions. The answers to the reflection questions and the interviews were qualitatively analyzed using inductive coding. We found that integrating fairness topics throughout the NLP course with repeated discussions led to an overall positive shift in students' attitudes and awareness towards ML fairness.",10.1145/3545945.3569802,cs education;disability;fairness;machine learning;nlp,Technology,Yes,ACM,,United States,"ethic, fair, bias, risk"
rayyan-323305285,Personality differences in patients with and without gallstones,2023,"Objective     Presence of gallstones is associated with a range of risk factors that have previously shown associations with personality traits. Our aim was to assess the differences in personality traits between the patients with and without gallstones.     Methods     This study used a case-control design with 308 participants from the general population, 68.2% female, mean age 49.2 (SD 9.24) years, of whom 154 (50%) participants had asymptomatic gallstones. Personality was assessed with the Temperament and Character Inventory - Revised – 140 (TCI-R-140) and depression with the Center for Epidemiological Study of Depression Scale (CESD). Cut-off ≥16 on the CES-D was used as an exclusion criterion. Subjects were also checked for metabolic risk factors and sociodemographic characteristics.     Results     The group with gallstones had significantly more pronounced metabolic risk factors and higher prevalence of smoking and alcohol usage in comparison with the group without gallstones. This group also exhibited higher temperament dimension Harm avoidance (HA) and lower character dimension Self-directedness (SD). Metabolic variables differed based on character dimension Cooperativeness (CO), smoking based on temperament dimensions Novelty seeking (NS) and HA, and alcohol usage on dimension NS within the gallstones group. In the logistic regression, controlled for smoking, alcohol usage and metabolic variables, temperament dimension HA was shown to be a significant predictor of the presence of gallstones.     Conclusion     Our findings indicate that personality may be associated with the presence of gallstones. Future longitudinal studies addressing the complex interplay of personality traits, psychological mechanisms and the associated behavioral, metabolic and neurobiological factors, are needed.",https://doi.org/10.1016/j.jpsychores.2023.111322,Personality;Temperament;Character;Gallstones;Risk factors,Health,Yes,ScienceDirect,,Croatia,"assess, risk"
rayyan-319318077,Examining the legitimacy landscape of the right to tourism,2025,"Discourses on the legitimacy of the right to tourism are often characterized by complexity and polarization. This study provides an in-depth examination of this discourse, grounded in institutional theory. We present a novel synthesis of key legitimacy perspectives, identifying eight distinct legitimization approaches: nested, purist, discretionary, ethical, social, vulnerability, precautionary, and multilateral. Rather than advocating for or against the right to tourism, this research focuses on understanding the diverse legitimization strategies employed to support differing positions. Furthermore, we introduce a multi-faceted legitimacy framework for assessing legitimacy judgments in tourism policymaking. This framework establishes a spectrum of legitimacy, highlighting a shift from reliance on basic legitimacy considerations toward more nuanced approaches in contemporary debates. We emphasize the importance of achieving at least intermediate levels of legitimacy to ensure long-term policy acceptance and sustainable tourism outcomes. The findings offer valuable insights for policymakers seeking to develop nuanced and legitimacy-conscious approaches to tourism governance.",https://doi.org/10.1016/j.tmp.2025.101365,Rights to tourism;Multi-perception legitimacy framework;Legitimization approaches;Tourism policy,Law,Yes,ScienceDirect,,Not clearly specified (Singapore/Australia context),"ethic, govern, policy, framework, assess, accept"
rayyan-319319881,Inspirational Intuition: Unlocking Creative Insight,2025,"Creative insight is critical to adaptive leadership and innovation in increasingly complex environments. This article introduces Inspirational Intuition as a conceptual framework that integrates intuitive perception and knowledge imagination. Drawing on creativity theory, unconscious cognition, and leadership research, the article outlines four foundational dimensions: Self-Confident Acting, Creative Silence, Emotional Awareness, and Visionary Openness. These form the basis of the IKII-10, a reflective inventory designed for conceptual engagement with intuitive Human Resource Development (HRD) competencies. Rather than an empirical tool, the IKII-10 serves as a scaffold for further theory building, supporting a more holistic understanding of learning, leadership, and organisational development in the face of uncertainty.",https://doi.org/10.1016/j.yjoc.2025.100104,Creativity;Intuition;IKII-10;Leadership development;Imaginative thinking;Human resource development,Hiring,Yes,ScienceDirect,,Germany,"framework, uncertain, certainty"
rayyan-319320883,Factors impacting employee productivity in the UAE public sector embracing the Fourth Industrial Revolution,2025,"The Fourth Industrial Revolution (4IR) is rapidly transforming the nature of work, service delivery, and performance expectations in public sector institutions. These digital disruptions have raised critical questions about how employee productivity can be sustained amid evolving technologies and organizational structures. In this context, understanding the influence of human resource management (HRM), workforce capacity (WFC), and people leadership (PL) becomes essential for enhancing public sector performance. Grounded in socio-technical systems (STS) theory, this study proposes an integrated framework to address productivity challenges unique to the UAE context. A cross-sectional survey of 303 public-sector employees in Sharjah was conducted, and data were analyzed using descriptive statistics, inferential tests, and the relative importance index (RII) technique. The findings reveal that HRM, WFC, and PL significantly affect four key outcomes: productivity, quality of work life, distributive fairness (DF), and work-from-home arrangements (WHA). Notably, the most influential factor across all domains was a positive work environment (RII = 0.902), followed by job security (RII = 0.894) and supervisory behavior (RII = 0.889). These results provide empirical support for prioritizing human-centric strategies within public sector reform efforts. The study contributes to both theory and practice by offering evidence-based insights for policymakers aiming to strengthen workforce performance in the era of digital transformation.",https://doi.org/10.1016/j.ssaho.2025.101706,Productivity;Public service;Human resource management;Workforce capacity;People leadership,Hiring,Yes,ScienceDirect,,United Arab Emirates,"policy, framework, fair"
rayyan-319855339,Exploring the individual adoption of human resource analytics: Behavioural beliefs and the role of machine learning characteristics,2024,"The technological capabilities of Human Resource Analytics (HRA), enhanced by recent innovations in Machine Learning (ML), offer exciting opportunities. However, organisations often fail to realise these potentials because of a limited understanding of why individuals choose to adopt or disregard respective tools. Prior research on innovation adoption offers preliminary insights but fails to aggregate the determinants of individual adoption into actionable suggestions for decisions in the ML adoption process. Our study applies focused interviews to examine non-ML experts' reasoning for using a specific tool tailored to a public sector organisation, which corresponds to the usual end-user perspective of ML-based HRA adoption. By drawing from the HRA adoption framework, provided by Vargas et al. (2018), we contribute to the literature by identifying relevant beliefs and experiences influencing one's intention to adopt ML-based HRA and by qualitatively linking these beliefs to ML characteristics such as transparency, automation and fairness. For practitioners, we provide actionable guidance emphasising the need to ensure fairness proactively, as interviewees do not consider this aspect when deciding to adopt ML-based HRA.",https://doi.org/10.1016/j.techfore.2024.123709,Human resource analytics;Machine learning adoption;Explainable artificial intelligence;Theory of planned behaviour;Employee turnover prediction,Hiring,Yes,ScienceDirect,,Germany,"framework, fair"
rayyan-319857349,The ethical implications of big data in human resource management,2024,"This article examines the ethical implications of big data in human resource management (HRM) practices, specifically in the areas of recruitment and selection, training and development, performance management, compensation, and employee retention. The article commences with a characterization of big data applications in HRM processes and practices, highlighting their benefits and value for the management of the workforce. It also shows how the application of big data analytics can put employees at great risk through institutional surveillance and other algorithmic manipulation practices such as profiling, coercion and control. Our theorizing advances the HRM and ethics literatures by offering a more expanded and nuanced view of the significant ethical challenges specific to individual HR practices. Additionally, our analysis brings ethics into the domain of HRM by problematizing the exploitation of employee information through digital technology for corporate gain. In so doing, it employs a moral principles framework to show how BDA - HRM practices can compromise employees' rights to privacy, confidentiality, transparency, and protection. Our analysis also raises concerns shared by both the practitioner and scholarly communities that are yet to be addressed and offers recommendations for research and practice.",https://doi.org/10.1016/j.hrmr.2024.101012,Artificial intelligence;Big data;Ethics;Human resource management,Technology,Yes,ScienceDirect,,Not location-specific (Conceptual; US/Canada context),"ethic, framework, privacy, risk"
rayyan-319862944,Hacking the perfect score on high-stakes personality assessments with generative AI,2024,"This study investigated the challenges posed by Large Language Models (LLMs) in faking on personality assessments within human resource management. As LLMs are increasingly adopted for a variety of tasks like writing and problem-solving, their potential to manipulate high-stakes personality assessments raises concerns about the validity of such tools in personnel selection. This study examines whether LLMs can inflate scores more effectively than humans and examines the effectiveness of different question types in resisting faking attempts. An experimental framework involving 655 business students and various LLMs was used to compare phrase-based forced-choice and single-stimulus questions. Results indicated that phrase-based prompts and the forced-choice measures were more resistant to faking, reducing manipulated scores more effectively than single-stimulus questions. ChatGPT models scored higher than the student population. These findings underscore the potential for LLMs to undermine the validity of personality assessments in remote testing environments and suggest a need to re-evaluate traditional assessment methodologies in the era of advanced generative AI.",https://doi.org/10.1016/j.paid.2024.112840,Artificial intelligence;Large language models;Personality assessments;Human resource management;Hiring;Selection,Education,Yes,ScienceDirect,,Canada,"framework, assess, valid"
rayyan-319327208,5Cs for 5Ps: Achieving sustainable development goals through transforming human resource management,2025,"The United Nations has adopted 17 Sustainable Development Goals (SDGs) covering five areas: People, Planet, Prosperity, Peace, and Partnership (the 5Ps). Businesses were extensively involved in the development of the SDGs and are regarded as important partners in realizing them. With many of the SDGs directly related to how human capital in organizations is managed, human resource management (HRM) practices are particularly important for achieving these goals. Thus, many HRM theories and practices are focused on sustainability in general and achieving the SDGs in particular. Yet, recent reports show that humanity is very far from achieving most of the 17 SDGs. This paper employs an abductive method to analyze this anomaly and propose a holistic SDG-driven HRM theory for achieving the 5Ps. It proposes 5Cs including the underlying culture (contradictory-accepting), practices (competency-based), policies (comprehensive by inducing occupational justice), programs (e.g. co-innovation program), and structure (collaborative, dynamic team-based) for an HRM system that is more likely to attain the SDGs. While previous scholarship focused on why sustainability should be incorporated into HRM practices and what it should aim to achieve, this novel theory (a) analyses the SDGs to reveal their underlying organizational goals, (b) analyses the literature to match these underlying goals with best practice HRM bundles, and (c) explains how these may be implemented. The proposed theory is timely as there is a pressing need to find ways to attain the SDGs.",https://doi.org/10.1016/j.jclepro.2025.146293,Sustainable human resource management;Sustainable development goals;Contradiction accepting culture;Competency-based approach,Hiring,Yes,ScienceDirect,,Not location-specific (Conceptual; Israel context),"explain, report, accept"
rayyan-319863263,The ethical implications of big data in human resource management,2024,"This article examines the ethical implications of big data in human resource management (HRM) practices, specifically in the areas of recruitment and selection, training and development, performance management, compensation, and employee retention. The article commences with a characterization of big data applications in HRM processes and practices, highlighting their benefits and value for the management of the workforce. It also shows how the application of big data analytics can put employees at great risk through institutional surveillance and other algorithmic manipulation practices such as profiling, coercion and control. Our theorizing advances the HRM and ethics literatures by offering a more expanded and nuanced view of the significant ethical challenges specific to individual HR practices. Additionally, our analysis brings ethics into the domain of HRM by problematizing the exploitation of employee information through digital technology for corporate gain. In so doing, it employs a moral principles framework to show how BDA - HRM practices can compromise employees' rights to privacy, confidentiality, transparency, and protection. Our analysis also raises concerns shared by both the practitioner and scholarly communities that are yet to be addressed and offers recommendations for research and practice.",https://doi.org/10.1016/j.hrmr.2024.101012,Artificial intelligence;Big data;Ethics;Human resource management,Hiring,Yes,ScienceDirect,,Thailand,"ethic, framework, privacy, risk"
